"language1","language2","count"
"Lua","PHP",1281
"Objective-C","Swift",1251
"Haskell","JavaScript",1242
"PHP","Ruby",1242
"C","R",1236
"C++","Swift",1209
"Java","VBA",1208
"Dart","Go",1205
"Kotlin","PowerShell",1200
"C","Ruby",1181
"Bash/Shell (all shells)","Scala",1172
"PowerShell","VBA",1165
"C#","Swift",1163
"C++","Ruby",1162
"C","Visual Basic (.Net)",1162
"HTML/CSS","Objective-C",1159
"Bash/Shell (all shells)","VBA",1143
"Lua","PowerShell",1138
"Bash/Shell (all shells)","Visual Basic (.Net)",1132
"GDScript","JavaScript",1131
"VBA","Visual Basic (.Net)",1130
"Delphi","HTML/CSS",1126
"C","Swift",1110
"C#","Ruby",1105
"Assembly","PowerShell",1102
"PHP","VBA",1096
"Elixir","HTML/CSS",1087
"C#","MATLAB",1086
"GDScript","Python",1086
"Haskell","HTML/CSS",1075
"Objective-C","Python",1066
"R","TypeScript",1063
"Elixir","SQL",1055
"GDScript","HTML/CSS",1048
"Objective-C","SQL",1041
"Java","Objective-C",1038
"C#","Delphi",1031
"JavaScript","Solidity",1030
"C","Perl",1027
"Bash/Shell (all shells)","Haskell",1024
"C++","VBA",1021
"Scala","TypeScript",1021
"Dart","Rust",1014
"C","Haskell",1007
"TypeScript","VBA",1001
"HTML/CSS","Scala",986
"MATLAB","TypeScript",983
"Ruby","Rust",971
"Java","Perl",968
"C++","Objective-C",966
"PHP","Swift",963
"Elixir","TypeScript",962
"C#","R",948
"Assembly","Go",947
"Lisp","Python",946
"C","VBA",936
"Perl","PHP",934
"Haskell","SQL",920
"C","Objective-C",915
"Elixir","Python",914
"C++","Delphi",912
"Objective-C","TypeScript",911
"MATLAB","PHP",908
"Haskell","TypeScript",905
"C++","Perl",904
"C++","Haskell",903
"Haskell","Java",899
"Groovy","Kotlin",871
"Haskell","Rust",871
"Assembly","Lua",862
"JavaScript","Lisp",856
"Bash/Shell (all shells)","Lisp",855
"HTML/CSS","Solidity",843
"Bash/Shell (all shells)","Elixir",842
"Delphi","Python",838
"Bash/Shell (all shells)","Objective-C",836
"Delphi","PHP",832
"Julia","Python",825
"Solidity","TypeScript",823
"MATLAB","PowerShell",802
"C","Delphi",800
"PHP","R",795
"PowerShell","R",795
"C","Lisp",789
"GDScript","TypeScript",784
"Dart","PowerShell",781
"HTML/CSS","Lisp",779
"Kotlin","Lua",773
"C#","Objective-C",772
"Groovy","PowerShell",771
"Go","Swift",769
"Go","Groovy",759
"Python","Solidity",758
"Dart","Swift",744
"C++","Groovy",742
"Assembly","MATLAB",740
"PowerShell","Ruby",732
"Lisp","SQL",724
"Delphi","Java",706
"Rust","Swift",704
"Clojure","JavaScript",703
"C#","Groovy",703
"GDScript","SQL",693
"C#","F#",690
"Solidity","SQL",689
"Kotlin","Ruby",684
"Bash/Shell (all shells)","GDScript",682
"C++","Lisp",681
"C#","GDScript",678
"MATLAB","R",678
"Assembly","Kotlin",669
"C","Groovy",664
"Objective-C","PHP",648
"Perl","TypeScript",645
"C++","GDScript",640
"Kotlin","Objective-C",619
"R","Rust",606
"Prolog","Python",606
"Fortran","Python",599
"Bash/Shell (all shells)","Delphi",595
"Elixir","Rust",594
"Java","Lisp",589
"JavaScript","Prolog",588
"Lua","Ruby",587
"GDScript","Rust",586
"Erlang","JavaScript",583
"C#","Perl",569
"GDScript","Java",568
"Go","Scala",564
"Ruby","Swift",561
"Elixir","Erlang",561
"Elixir","Ruby",559
"Elixir","Go",557
"F#","JavaScript",557
"Clojure","Python",557
"PowerShell","Swift",555
"Perl","PowerShell",550
"Rust","Scala",550
"Groovy","PHP",548
"HTML/CSS","Prolog",544
"C","Fortran",540
"C","Scala",538
"C++","Scala",538
"Java","Prolog",535
"C++","Fortran",533
"Bash/Shell (all shells)","Clojure",531
"Go","R",530
"C#","Haskell",530
"F#","SQL",529
"C","GDScript",524
"Kotlin","Scala",522
"MATLAB","Rust",521
"Prolog","SQL",517
"Assembly","Visual Basic (.Net)",516
"Go","Perl",513
"Clojure","HTML/CSS",512
"Clojure","SQL",511
"Bash/Shell (all shells)","Solidity",510
"Go","Haskell",510
"Delphi","TypeScript",506
"Dart","Lua",503
"JavaScript","Julia",503
"C","Prolog",497
"Clojure","Java",494
"F#","TypeScript",492
"Delphi","PowerShell",490
"C++","Julia",490
"Rust","Zig",489
"Bash/Shell (all shells)","Julia",488
"Assembly","Haskell",487
"Bash/Shell (all shells)","Erlang",486
"C#","Scala",486
"Python","Zig",483
"Elixir","Java",482
"C","Zig",479
"Erlang","Python",476
"Lisp","TypeScript",473
"Lisp","Rust",472
"Erlang","SQL",471
"C++","Prolog",469
"Assembly","R",469
"JavaScript","Zig",468
"F#","HTML/CSS",468
"Java","Solidity",466
"Assembly","VBA",459
"C","Julia",458
"HTML/CSS","Julia",456
"Fortran","SQL",453
"Erlang","HTML/CSS",451
"Groovy","Rust",449
"Assembly","Dart",449
"Fortran","JavaScript",444
"Apex","JavaScript",442
"Clojure","TypeScript",438
"C","Elixir",437
"Bash/Shell (all shells)","Prolog",436
"Assembly","Delphi",435
"Kotlin","MATLAB",434
"Bash/Shell (all shells)","Fortran",433
"Go","MATLAB",432
"Fortran","HTML/CSS",429
"Cobol","SQL",428
"Julia","SQL",425
"Assembly","Ruby",422
"OCaml","Python",422
"F#","Python",416
"Objective-C","PowerShell",415
"Dart","Ruby",414
"Bash/Shell (all shells)","Zig",412
"Haskell","Lua",406
"Delphi","VBA",400
"Assembly","Perl",399
"Assembly","Lisp",399
"HTML/CSS","Zig",396
"C++","Zig",395
"Apex","SQL",394
"Assembly","Swift",390
"TypeScript","Zig",387
"Haskell","PHP",386
"Perl","Ruby",386
"C","OCaml",385
"R","VBA",385
"Go","Objective-C",383
"Cobol","JavaScript",382
"GDScript","Lua",382
"Julia","Rust",381
"Apex","HTML/CSS",380
"C++","Elixir",379
"Kotlin","Visual Basic (.Net)",379
"Go","Visual Basic (.Net)",377
"GDScript","Go",373
"JavaScript","OCaml",371
"Kotlin","R",370
"Cobol","HTML/CSS",368
"PHP","Scala",368
"Lua","MATLAB",368
"C++","Solidity",368
"Go","Lisp",367
"Perl","Rust",366
"MATLAB","Visual Basic (.Net)",363
"Fortran","Java",360
"Erlang","TypeScript",358
"GDScript","PHP",354
"F#","PowerShell",354
"Prolog","TypeScript",353
"C#","Lisp",352
"C","Erlang",352
"Objective-C","Ruby",350
"Go","Zig",349
"Delphi","Visual Basic (.Net)",349
"MATLAB","VBA",345
"Lua","R",343
"Go","Solidity",343
"Lua","Swift",343
"Haskell","PowerShell",343
"Lisp","Lua",342
"C","Solidity",342
"C#","Elixir",341
"Assembly","Objective-C",339
"Ada","Python",338
"PowerShell","Scala",336
"Bash/Shell (all shells)","OCaml",336
"Cobol","Java",336
"Haskell","Kotlin",334
"PHP","Solidity",333
"Lua","Perl",332
"SAS","SQL",332
"Elixir","PHP",331
"Java","Julia",330
"Ada","C",329
"Bash/Shell (all shells)","F#",326
"Dart","MATLAB",326
"Rust","Solidity",325
"C#","Solidity",324
"Lisp","PHP",321
"Groovy","Ruby",319
"R","Ruby",319
"Objective-C","Rust",317
"Lua","Visual Basic (.Net)",314
"HTML/CSS","OCaml",313
"JavaScript","SAS",312
"Erlang","Java",312
"Assembly","Fortran",311
"Julia","TypeScript",310
"Dart","Objective-C",309
"C#","Prolog",308
"Groovy","Lua",307
"C","Cobol",307
"Cobol","Python",303
"C++","OCaml",300
"Erlang","Rust",300
"Groovy","Scala",299
"HTML/CSS","SAS",299
"Go","VBA",297
"SQL","Zig",297
"Ada","C++",295
"Dart","Visual Basic (.Net)",293
"C++","Erlang",293
"Crystal","JavaScript",290
"R","Visual Basic (.Net)",290
"Clojure","Go",289
"OCaml","SQL",287
"Ada","JavaScript",286
"C++","Cobol",286
"Kotlin","VBA",285
"Ruby","Scala",285
"Rust","Visual Basic (.Net)",284
"OCaml","TypeScript",284
"OCaml","Rust",283
"Perl","VBA",282
"Java","OCaml",282
"Julia","R",281
"C","Clojure",281
"C++","F#",280
"GDScript","PowerShell",279
"PHP","Prolog",279
"Haskell","Lisp",278
"GDScript","Kotlin",277
"Ada","Java",275
"Dart","R",274
"Python","SAS",274
"Ruby","Visual Basic (.Net)",273
"Objective-C","Visual Basic (.Net)",273
"C#","Fortran",272
"Clojure","Rust",271
"Ada","SQL",270
"Erlang","Go",270
"Perl","R",270
"C","F#",269
"Assembly","Prolog",269
"C#","Cobol",269
"F#","Java",268
"Fortran","PHP",266
"Rust","VBA",266
"F#","Rust",265
"Lisp","PowerShell",264
"Perl","Visual Basic (.Net)",263
"Nim","Python",262
"Lua","VBA",262
"Java","Zig",261
"C++","Clojure",260
"Crystal","HTML/CSS",257
"Crystal","SQL",256
"Ada","HTML/CSS",256
"Apex","Python",255
"Lua","Zig",255
"Swift","Visual Basic (.Net)",254
"Ada","Bash/Shell (all shells)",254
"Elixir","Lua",254
"Elixir","Kotlin",254
"Dart","Groovy",254
"Kotlin","Perl",253
"Go","Julia",253
"Lisp","Ruby",252
"MATLAB","Swift",251
"Apex","Java",251
"Cobol","PHP",248
"R","Scala",247
"Fortran","MATLAB",246
"Bash/Shell (all shells)","Cobol",246
"Julia","MATLAB",245
"C#","Zig",244
"Haskell","R",241
"Assembly","Groovy",237
"MATLAB","Ruby",236
"Assembly","GDScript",235
"Prolog","Rust",235
"PowerShell","Prolog",235
"Assembly","Scala",235
"Groovy","Perl",233
"Ruby","VBA",232
"C#","Julia",231
"Lua","Objective-C",231
"Dart","GDScript",230
"Lua","Scala",230
"Haskell","Scala",227
"JavaScript","Nim",226
"Haskell","Ruby",225
"Delphi","Go",225
"Lisp","Perl",225
"C#","Clojure",223
"Groovy","Swift",223
"Assembly","Zig",222
"Erlang","Ruby",221
"MATLAB","Perl",220
"PowerShell","Solidity",220
"Apex","Bash/Shell (all shells)",217
"Dart","Haskell",216
"R","Swift",215
"Clojure","Lisp",215
"Apex","TypeScript",212
"Fortran","PowerShell",210
"HTML/CSS","Nim",209
"Haskell","Prolog",207
"Julia","Lua",203
"Assembly","Cobol",203
"Cobol","TypeScript",202
"Delphi","Perl",201
"Apex","C#",201
"F#","Go",201
"Cobol","PowerShell",200
"Bash/Shell (all shells)","Nim",200
"MATLAB","Objective-C",199
"Haskell","MATLAB",199
"Go","Prolog",198
"Kotlin","Lisp",198
"Dart","Elixir",197
"Crystal","Python",197
"Erlang","PHP",196
"Swift","VBA",196
"Elixir","Haskell",195
"Dart","VBA",194
"Julia","PowerShell",194
"Bash/Shell (all shells)","Crystal",193
"C#","Crystal",192
"Assembly","OCaml",191
"Ada","Assembly",191
"Objective-C","Perl",191
"Fortran","VBA",190
"C#","Erlang",189
"Delphi","Fortran",189
"Ada","C#",188
"Dart","Solidity",188
"Lisp","R",188
"Kotlin","Solidity",188
"Flow","JavaScript",186
"Elixir","PowerShell",185
"Lisp","Prolog",185
"Clojure","PHP",184
"Fortran","Visual Basic (.Net)",184
"Fortran","TypeScript",184
"Groovy","Objective-C",184
"MATLAB","Prolog",184
"C","Nim",183
"Prolog","R",182
"Crystal","TypeScript",182
"Clojure","Kotlin",181
"Fortran","Perl",179
"Nim","Rust",178
"Objective-C","VBA",178
"Clojure","Ruby",177
"Perl","Swift",176
"Delphi","Lua",175
"Kotlin","Prolog",175
"Delphi","MATLAB",175
"Assembly","Julia",174
"PHP","SAS",174
"Groovy","Visual Basic (.Net)",173
"Cobol","Delphi",173
"Cobol","Visual Basic (.Net)",173
"Nim","TypeScript",172
"Lisp","MATLAB",172
"C#","OCaml",172
"Delphi","Objective-C",171
"Elixir","Swift",171
"SAS","TypeScript",171
"Crystal","Ruby",171
"GDScript","Ruby",170
"F#","PHP",170
"Bash/Shell (all shells)","SAS",170
"Delphi","Ruby",170
"Dart","Scala",170
"Julia","PHP",169
"C++","Nim",169
"Erlang","Lua",169
"Delphi","Kotlin",168
"Groovy","R",168
"Java","SAS",168
"C","Crystal",167
"Apex","PHP",167
"Cobol","VBA",166
"Assembly","Solidity",166
"Ada","TypeScript",166
"Fortran","Go",165
"Cobol","Fortran",164
"R","SAS",164
"Assembly","Elixir",164
"Go","OCaml",162
"Julia","Kotlin",161
"Nim","SQL",161
"Groovy","VBA",161
"Fortran","R",159
"Clojure","Lua",159
"PowerShell","Zig",159
"Flow","HTML/CSS",159
"Scala","Swift",159
"APL","JavaScript",158
"Erlang","Haskell",158
"Haskell","Julia",157
"Fortran","Lisp",156
"C++","Crystal",156
"Haskell","Swift",156
"Haskell","OCaml",155
"Lua","Solidity",153
"Haskell","Zig",153
"Fortran","Rust",153
"Erlang","Kotlin",152
"F#","Kotlin",151
"Go","Nim",151
"Erlang","PowerShell",151
"C#","SAS",150
"F#","Haskell",150
"Groovy","MATLAB",150
"APL","C",150
"Crystal","Java",149
"Kotlin","Zig",149
"OCaml","PHP",148
"Dart","Delphi",148
"Delphi","Swift",147
"MATLAB","Scala",147
"Solidity","Swift",147
"Delphi","Rust",146
"Flow","TypeScript",146
"Clojure","Haskell",146
"Dart","Perl",146
"Java","Nim",145
"Lisp","VBA",145
"Fortran","Lua",145
"APL","Bash/Shell (all shells)",145
"Haskell","Perl",144
"C++","SAS",144
"Assembly","Erlang",144
"F#","Visual Basic (.Net)",144
"Lua","OCaml",144
"Apex","PowerShell",144
"F#","Lua",143
"PowerShell","SAS",143
"Ada","PHP",143
"C","SAS",143
"Assembly","F#",142
"Perl","Scala",142
"Elixir","Lisp",141
"Ruby","Solidity",140
"Lua","Prolog",140
"APL","C++",140
"Lisp","Visual Basic (.Net)",140
"Clojure","Scala",139
"GDScript","Haskell",139
"Flow","SQL",139
"Lisp","Objective-C",138
"Crystal","Go",138
"Delphi","R",137
"Clojure","PowerShell",136
"PHP","Zig",136
"Crystal","Rust",136
"Elixir","Scala",136
"APL","HTML/CSS",136
"Crystal","PHP",136
"Objective-C","R",135
"Clojure","Elixir",134
"Julia","Lisp",134
"Apex","C",133
"APL","Python",133
"MATLAB","Solidity",132
"Assembly","Clojure",131
"Dart","Julia",131
"Clojure","Dart",131
"Dart","Prolog",130
"Lisp","Swift",129
"Apex","C++",129
"Dart","Zig",129
"C#","Nim",129
"Ada","PowerShell",129
"Perl","Prolog",129
"Delphi","Lisp",128
"Dart","Lisp",126
"Erlang","Lisp",125
"GDScript","Swift",125
"R","Solidity",124
"APL","Java",124
"Scala","Visual Basic (.Net)",124
"APL","SQL",123
"Cobol","Go",123
"Julia","Ruby",123
"Fortran","Objective-C",122
"Prolog","Visual Basic (.Net)",122
"Fortran","Kotlin",122
"Delphi","Groovy",122
"Lisp","Scala",122
"Lisp","OCaml",121
"Flow","Python",121
"APL","Assembly",120
"Crystal","PowerShell",120
"Prolog","Ruby",120
"Lisp","Zig",119
"Ada","Delphi",119
"Lua","Nim",118
"Groovy","Haskell",118
"Fortran","Julia",117
"Ruby","Zig",117
"Prolog","VBA",117
"Ada","Rust",117
"Fortran","Ruby",117
"Ada","Go",117
"Scala","VBA",116
"Crystal","Visual Basic (.Net)",115
"Dart","Erlang",114
"Kotlin","OCaml",114
"Elixir","Zig",113
"GDScript","Zig",113
"Erlang","Perl",113
"Prolog","Swift",112
"Bash/Shell (all shells)","Flow",112
"APL","C#",111
"F#","VBA",110
"Perl","Raku",110
"Groovy","Lisp",110
"Dart","F#",109
"Nim","Zig",109
"GDScript","R",109
"Elixir","R",109
"Delphi","Prolog",109
"Objective-C","Scala",108
"Prolog","Scala",108
"Cobol","Perl",107
"F#","Ruby",106
"Ada","Visual Basic (.Net)",106
"Cobol","Kotlin",105
"Cobol","Ruby",105
"Haskell","Objective-C",105
"Swift","Zig",103
"Julia","Scala",102
"Python","Raku",102
"Crystal","Elixir",102
"Ada","MATLAB",102
"OCaml","Ruby",101
"Kotlin","Nim",101
"Nim","PowerShell",101
"Elixir","F#",100
"JavaScript","Raku",100
"Clojure","Groovy",99
"OCaml","PowerShell",99
"Bash/Shell (all shells)","Raku",99
"Flow","Java",99
"F#","Swift",99
"APL","TypeScript",99
"Clojure","R",99
"Assembly","Nim",99
"SAS","VBA",98
"F#","R",98
"Haskell","Visual Basic (.Net)",98
"Elixir","Julia",98
"GDScript","Groovy",98
"Cobol","Lisp",97
"Objective-C","Prolog",97
"Ada","Kotlin",97
"Elixir","Perl",97
"Cobol","Lua",97
"Erlang","Scala",97
"Cobol","MATLAB",96
"Haskell","VBA",96
"Elixir","Objective-C",96
"Erlang","R",96
"APL","Rust",95
"SAS","Visual Basic (.Net)",95
"Ada","Lisp",95
"GDScript","Lisp",95
"Crystal","Kotlin",95
"Cobol","Rust",95
"F#","Scala",95
"Nim","PHP",94
"Fortran","Swift",94
"GDScript","Visual Basic (.Net)",94
"Fortran","Haskell",94
"C#","Flow",94
"Ada","Fortran",94
"Ada","VBA",94
"Julia","Perl",94
"Flow","PHP",93
"Crystal","Lua",93
"Solidity","Visual Basic (.Net)",92
"OCaml","Scala",92
"Dart","Nim",92
"Dart","OCaml",92
"Clojure","Julia",92
"Clojure","Erlang",92
"Elixir","GDScript",92
"Elixir","OCaml",92
"Elixir","Groovy",91
"Ada","Ruby",91
"GDScript","MATLAB",91
"Raku","SQL",91
"Ada","Perl",91
"Clojure","Perl",90
"MATLAB","OCaml",90
"Crystal","Dart",90
"Assembly","Crystal",90
"Erlang","OCaml",90
"Apex","Go",90
"Apex","Assembly",90
"Groovy","Solidity",89
"Erlang","Objective-C",89
"OCaml","Prolog",89
"Dart","Fortran",89
"C","Raku",89
"OCaml","R",89
"Cobol","R",89
"Objective-C","Solidity",89
"Erlang","Groovy",89
"Fortran","Groovy",89
"Julia","VBA",88
"F#","Lisp",88
"Julia","Swift",88
"Erlang","Swift",88
"Cobol","Swift",88
"Fortran","Prolog",87
"Nim","Ruby",87
"HTML/CSS","Raku",87
"F#","MATLAB",87
"Clojure","Zig",87
"Scala","Solidity",87
"Ada","Cobol",86
"Solidity","VBA",86
"Crystal","VBA",86
"GDScript","Julia",86
"Clojure","Swift",85
"Elixir","MATLAB",85
"Haskell","Solidity",85
"Apex","Visual Basic (.Net)",85
"Go","SAS",85
"Delphi","F#",84
"GDScript","Scala",84
"GDScript","Perl",84
"MATLAB","SAS",84
"F#","Perl",84
"APL","PHP",84
"Assembly","SAS",83
"Ada","R",83
"APL","Lisp",83
"Cobol","Objective-C",83
"Erlang","Prolog",83
"Elixir","Solidity",83
"OCaml","Swift",82
"APL","Haskell",82
"APL","Go",82
"GDScript","Objective-C",82
"Erlang","MATLAB",81
"Crystal","Delphi",81
"GDScript","VBA",81
"Haskell","Nim",80
"Clojure","F#",80
"Julia","Zig",80
"C++","Raku",79
"Cobol","Dart",79
"GDScript","Nim",79
"OCaml","Zig",79
"Apex","Ruby",79
"Apex","Groovy",79
"Ada","APL",78
"APL","Lua",78
"Perl","Solidity",78
"Delphi","Scala",78
"Cobol","Groovy",78
"Ada","Dart",77
"Ruby","SAS",77
"Apex","VBA",77
"Crystal","Haskell",77
"Clojure","Objective-C",77
"Delphi","Haskell",77
"Cobol","Haskell",76
"Apex","Kotlin",76
"Erlang","F#",76
"Ada","Lua",76
"F#","Objective-C",76
"C++","Flow",76
"Ada","Apex",75
"Ada","Haskell",75
"Ada","Swift",75
"Apex","Delphi",75
"Elixir","Prolog",75
"Elixir","Visual Basic (.Net)",75
"Erlang","Fortran",75
"Erlang","Julia",75
"Julia","OCaml",75
"Julia","Prolog",75
"Clojure","MATLAB",74
"Erlang","Visual Basic (.Net)",74
"Crystal","Lisp",74
"Flow","Kotlin",74
"Delphi","Erlang",73
"Flow","Rust",73
"Clojure","OCaml",73
"F#","OCaml",73
"Erlang","Zig",73
"R","Zig",73
"Groovy","Prolog",73
"OCaml","Perl",73
"Crystal","Julia",72
"Delphi","Elixir",72
"Ada","Objective-C",72
"APL","Cobol",72
"Flow","Ruby",72
"Flow","PowerShell",72
"APL","PowerShell",72
"Flow","Go",72
"Clojure","GDScript",72
"F#","Julia",72
"Ada","OCaml",71
"Apex","Perl",71
"Groovy","Julia",71
"Java","Raku",71
"Ada","Julia",71
"Raku","Rust",71
"Perl","Zig",71
"Fortran","Scala",71
"C","Flow",71
"Scala","Zig",71
"Crystal","Zig",71
"Crystal","Swift",70
"Rust","SAS",70
"Apex","Rust",70
"Lisp","Nim",70
"Cobol","Crystal",69
"Delphi","GDScript",69
"APL","Fortran",69
"Ada","Prolog",69
"Julia","Visual Basic (.Net)",69
"Perl","SAS",68
"Raku","TypeScript",68
"Raku","Ruby",68
"APL","Julia",68
"APL","Kotlin",68
"APL","Ruby",68
"Kotlin","SAS",68
"Crystal","GDScript",68
"Ada","Groovy",68
"Erlang","VBA",68
"Clojure","Prolog",68
"Go","Raku",67
"Ada","Scala",67
"MATLAB","Zig",67
"Apex","Swift",67
"Nim","Swift",67
"APL","Elixir",67
"Prolog","Solidity",67
"Delphi","Julia",67
"Erlang","GDScript",67
"Objective-C","Zig",67
"Clojure","Fortran",66
"Cobol","Prolog",66
"Julia","Objective-C",66
"F#","Groovy",66
"APL","Delphi",66
"Apex","Dart",66
"APL","Clojure",66
"Fortran","OCaml",65
"GDScript","Prolog",65
"Nim","R",65
"F#","GDScript",65
"Cobol","Scala",65
"SAS","Swift",65
"F#","Zig",65
"Clojure","Crystal",65
"F#","Prolog",65
"Clojure","Delphi",64
"Objective-C","OCaml",64
"Crystal","Objective-C",64
"Elixir","Nim",64
"Crystal","MATLAB",64
"Cobol","Erlang",64
"Crystal","Perl",64
"Julia","Nim",63
"SAS","Scala",63
"Apex","MATLAB",63
"Crystal","R",63
"Julia","Solidity",63
"Dart","SAS",63
"Clojure","VBA",63
"Crystal","Erlang",63
"Clojure","Visual Basic (.Net)",62
"Apex","Cobol",62
"Objective-C","SAS",62
"C#","Raku",62
"APL","Visual Basic (.Net)",62
"APL","VBA",62
"APL","Swift",62
"Prolog","Zig",62
"APL","Perl",62
"Delphi","Solidity",62
"Fortran","SAS",62
"GDScript","OCaml",61
"Nim","Perl",61
